name,x1,x2,dx,y1,y2,height,quantity
A,74,145,71,446,503,57,1
B,141,217,76,390,503,113,2
C,217,292,75,331,501,170,3
D,293,374,81,273,501,228,4
E,368,446,78,444,500,56,1
F,444,522,78,386,497,111,2
